管理ID,ベンダー名,サービス名,用途,管理者,データ種別,個人情報,顧客機密,外部AI利用,学習利用設定,保存先国_リージョン,再委託有無,契約種別,DPA_NDA,開始日,更新日,次回見直し日,停止時の削除方法,備考
V-001,,,,,,,,,,,,,,,,,,
V-002,,,,,,,,,,,,,,,,,,
V-003,,,,,,,,,,,,,,,,,,
